/*
Full Coding Rule Violations List (Merged)

| Code Path | Line | Rule No. | Coding Rule | Risk Comments | Owner |
|-----------|------|----------|--------------|----------------|--------|
| /code_release/apps/src/apps/macchina.io/MD/xCallManage/src/CxCallCmd.cpp | 44 | AUTOSAR-M5_0_4-a | Implicit conversion between unsigned and signed type in the function call on argument '3' shall not be used | nan | xCall |
| /code_release/apps/src/apps/macchina.io/MD/xCallManage/src/CxCallCmd.cpp | 75 | AUTOSAR-M5_0_4-a | Implicit conversion between signed and unsigned type in the function call on argument '1' shall not be used | nan | xCall |
| /code_release/apps/src/apps/macchina.io/MD/xCallManage/src/CxCallCmd.cpp | 75 | AUTOSAR-M5_0_4-a | Implicit conversion between signed and unsigned type in the function call on argument '2' shall not be used | nan | xCall |
| /code_release/apps/src/apps/macchina.io/MD/xCallManage/src/CxCallCmd.cpp | 75 | AUTOSAR-M5_0_4-a | Implicit conversion between signed and unsigned type in the function call on argument '3' shall not be used | nan | xCall |
| /code_release/apps/src/apps/macchina.io/MD/xCallManage/src/CxCallCmd.cpp | 75 | AUTOSAR-M5_0_4-a | Implicit conversion between signed and unsigned type in the function call on argument '5' shall not be used | nan | xCall |
| /code_release/apps/src/apps/macchina.io/MD/xCallManage/src/CxCallCmd.cpp | 76 | AUTOSAR-M5_0_4-a | Implicit conversion between signed and unsigned type in the function call on argument '2' shall not be used | nan | xCall |
| /code_release/apps/src/apps/macchina.io/MD/xCallManage/src/CxCallCmd.cpp | 92 | AUTOSAR-M5_0_4-a | Implicit conversion between signed and unsigned type in the case label shall not be used | nan | xCall |
| /code_release/apps/src/apps/macchina.io/MD/xCallManage/src/CxCallCmd.cpp | 98 | AUTOSAR-M5_0_4-a | Implicit conversion between signed and unsigned type in the case label shall not be used | nan | xCall |
| /code_release/apps/src/apps/macchina.io/MD/xCallManage/src/CxCallCmd.cpp | 104 | AUTOSAR-M5_0_4-a | Implicit conversion between signed and unsigned type in the case label shall not be used | nan | xCall |
| /code_release/apps/src/apps/macchina.io/MD/xCallManage/src/CxCallCmd.cpp | 118 | AUTOSAR-M5_0_4-a | Implicit conversion between signed and unsigned type in the function call on argument '2' shall not be used | nan | xCall |
| /code_release/apps/src/apps/macchina.io/MD/xCallManage/src/CxCallCmd.cpp | 122 | AUTOSAR-M5_0_4-a | Implicit conversion between signed and unsigned type in the function call on argument '2' shall not be used | nan | xCall |
| /code_release/apps/src/apps/macchina.io/MD/xCallManage/src/CxCallCmd.cpp | 139 | AUTOSAR-M5_0_4-a | Implicit conversion between signed and unsigned type shall not be used | nan | xCall |
| /code_release/apps/src/apps/macchina.io/MD/xCallManage/src/CxCallCmd.cpp | 153 | AUTOSAR-M5_0_4-a | Implicit conversion between signed and unsigned type shall not be used | nan | xCall |
| /code_release/apps/src/apps/macchina.io/MD/xCallManage/src/CxCallCmd.cpp | 167 | AUTOSAR-M5_0_4-a | Implicit conversion between signed and unsigned type shall not be used | nan | xCall |
| /code_release/apps/src/apps/macchina.io/MD/xCallManage/src/CxCallCmd.cpp | 186 | AUTOSAR-M5_0_4-a | Implicit conversion between signed and unsigned type shall not be used | nan | xCall |
| /code_release/apps/src/apps/macchina.io/MD/xCallManage/src/CxCallCmd.cpp | 186 | AUTOSAR-M5_0_4-a | Implicit conversion between signed and unsigned type shall not be used | nan | xCall |
| /code_release/apps/src/apps/macchina.io/MD/xCallManage/src/CxCallCmd.cpp | 193 | AUTOSAR-M5_0_4-a | Implicit conversion between signed and unsigned type in the case label shall not be used | nan | xCall |
| /code_release/apps/src/apps/macchina.io/MD/xCallManage/src/CxCallCmd.cpp | 199 | AUTOSAR-M5_0_4-a | Implicit conversion between signed and unsigned type in the case label shall not be used | nan | xCall |
| /code_release/apps/src/apps/macchina.io/MD/xCallManage/src/CxCallCmd.cpp | 201 | AUTOSAR-M5_0_4-a | Implicit conversion between signed and unsigned type shall not be used | nan | xCall |
| /code_release/apps/src/apps/macchina.io/MD/xCallManage/src/CxCallCmd.cpp | 205 | AUTOSAR-M5_0_4-a | Implicit conversion between signed and unsigned type in the case label shall not be used | nan | xCall |
| /code_release/apps/src/apps/macchina.io/MD/xCallManage/src/CxCallCmd.cpp | 210 | AUTOSAR-M5_0_4-a | Implicit conversion between signed and unsigned type in the case label shall not be used | nan | xCall |
| /code_release/apps/src/apps/macchina.io/MD/xCallManage/src/CxCallCmd.cpp | 221 | AUTOSAR-M5_0_4-a | Implicit conversion between signed and unsigned type in the case label shall not be used | nan | xCall |
| /code_release/apps/src/apps/macchina.io/MD/xCallManage/src/CxCallCmd.cpp | 237 | AUTOSAR-M5_0_4-a | Implicit conversion between signed and unsigned type in the function call on argument '1' shall not be used | nan | xCall |
| /code_release/apps/src/apps/macchina.io/MD/xCallManage/src/CxCallCmd.cpp | 244 | AUTOSAR-M5_0_4-a | Implicit conversion between signed and unsigned type shall not be used | nan | xCall |
| /code_release/apps/src/apps/macchina.io/MD/xCallManage/src/CxCallCmd.cpp | 246 | AUTOSAR-M5_0_4-a | Implicit conversion between signed and unsigned type in the function call on argument '1' shall not be used | nan | xCall |
